episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,info/learner/default_policy/num_agent_steps_trained,info/learner/default_policy/num_grad_updates_lifetime,info/learner/default_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
nan,nan,nan,nan,0,0,3,0,0,4000,4000,4000,4000,4000,4000,4000,4000,4000,False,0,1,default,9db605d928fe41c8999543bf5a936693,2023-01-22_17-56-29,1674438989,5.8919477462768555,5.8919477462768555,4704,panther,192.168.86.35,5.8919477462768555,0,1,9.760607719421387,4000,4000,4000,4000,nan,nan,nan,nan,0,0,[],[],5881.873,0.443,9024860.678,4012.21,996.957,5.415,4000,4000,4000,4000,53.56666666666667,27.022222222222226,[],[],128.0,465.5,464.5,0.20000000298023224,4.999999873689376e-05,-0.04426675,-0.045335006,9.808453e-08,-0.9734447,0.0053408286,3.9065335,0.0
nan,nan,nan,nan,0,0,3,0,0,8000,8000,8000,8000,4000,4000,8000,4000,8000,False,0,2,default,9db605d928fe41c8999543bf5a936693,2023-01-22_17-56-35,1674438995,5.887512445449829,11.779460191726685,4704,panther,192.168.86.35,11.779460191726685,0,2,9.760607719421387,8000,8000,8000,8000,nan,nan,nan,nan,0,0,[],[],5880.871,0.358,11162485.695,3920.326,1020.323,5.227,8000,8000,8000,8000,68.875,29.0,[],[],128.0,1395.5,464.5,0.20000000298023224,4.999999873689376e-05,-0.0417695,-0.0428982,7.455223e-08,-0.9794624,0.005643136,3.888161,0.0
nan,nan,nan,nan,0,0,3,0,0,12000,12000,12000,12000,4000,4000,12000,4000,12000,False,0,3,default,9db605d928fe41c8999543bf5a936693,2023-01-22_17-56-40,1674439000,4.939342975616455,16.71880316734314,4704,panther,192.168.86.35,16.71880316734314,0,3,9.760607719421387,12000,12000,12000,12000,nan,nan,nan,nan,0,0,[],[],5564.628,0.287,13934564.784,3710.571,1078.001,5.234,12000,12000,12000,12000,43.98571428571429,29.371428571428574,[],[],128.0,2325.5,464.5,0.20000000298023224,4.999999873689376e-05,-0.04050477,-0.041945517,4.494495e-08,-1.0,0.007203568,3.8712318,0.0
nan,nan,nan,nan,0,0,3,0,0,16000,16000,16000,16000,4000,4000,16000,4000,16000,False,0,4,default,9db605d928fe41c8999543bf5a936693,2023-01-22_17-56-46,1674439006,5.337695837020874,22.056499004364014,4704,panther,192.168.86.35,22.056499004364014,0,4,9.760607719421387,16000,16000,16000,16000,nan,nan,nan,nan,0,0,[],[],5506.39,0.26,15360234.379,3677.989,1087.551,5.284,16000,16000,16000,16000,49.2625,29.1,[],[],128.0,3255.5,464.5,0.20000000298023224,4.999999873689376e-05,-0.05776842,-0.059509926,8.072321e-08,-0.993882,0.008707171,3.846926,0.0
nan,nan,nan,nan,0,0,3,0,0,20000,20000,20000,20000,4000,4000,20000,4000,20000,False,0,5,default,9db605d928fe41c8999543bf5a936693,2023-01-22_17-56-51,1674439011,5.035134315490723,27.091633319854736,4704,panther,192.168.86.35,27.091633319854736,0,5,9.760607719421387,20000,20000,20000,20000,nan,nan,nan,nan,0,0,[],[],5410.718,0.262,15254788.143,3602.992,1110.188,4.946,20000,20000,20000,20000,40.814285714285724,29.071428571428573,[],[],128.0,4185.5,464.5,0.20000000298023224,4.999999873689376e-05,-0.045887724,-0.047699664,2.0685716e-08,-0.9996363,0.00905962,3.825671,0.0
0.00014736221415617132,0.0001288991991634545,0.0001381307066598129,7278.0,2,0,3,0,0,24000,24000,24000,24000,4000,4000,24000,4000,24000,False,2,6,default,9db605d928fe41c8999543bf5a936693,2023-01-22_17-56-56,1674439016,5.268165826797485,32.35979914665222,4704,panther,192.168.86.35,32.35979914665222,0,6,9.760607719421387,24000,24000,24000,24000,0.00014736221415617132,0.0001288991991634545,0.0001381307066598129,7278.0,2,0,"[0.00014736221415617132, 0.0001288991991634545]","[6792, 7764]",5385.839,0.269,14875616.374,3564.509,1122.174,5.503,24000,24000,24000,24000,52.7625,29.4625,"[0.00014736221415617132, 0.0001288991991634545]","[6792, 7764]",128.0,5115.5,464.5,0.20000000298023224,4.999999873689376e-05,-0.05237801,-0.054061692,4.562257e-08,-0.9997972,0.008418221,3.8038974,0.0
0.001300389947933687,0.0001288991991634545,0.0005255504537511042,5110.333333333333,1,0,3,0,0,28000,28000,28000,28000,4000,4000,28000,4000,28000,False,3,7,default,9db605d928fe41c8999543bf5a936693,2023-01-22_17-57-01,1674439021,5.33365797996521,37.69345712661743,4704,panther,192.168.86.35,37.69345712661743,0,7,9.760607719421387,28000,28000,28000,28000,0.001300389947933687,0.0001288991991634545,0.0005255504537511042,5110.333333333333,1,0,"[0.00014736221415617132, 0.0001288991991634545, 0.001300389947933687]","[6792, 7764, 775]",5377.363,0.281,14216258.564,3552.065,1126.105,5.257,28000,28000,28000,28000,49.77142857142858,29.7,"[0.00014736221415617132, 0.0001288991991634545, 0.001300389947933687]","[6792, 7764, 775]",128.0,6045.5,464.5,0.20000000298023224,4.999999873689376e-05,-0.04702712,-0.048635148,1.7079586e-07,-0.9732632,0.008039308,3.7813745,0.0
0.001300389947933687,0.0001288991991634545,0.0005255504537511042,5110.333333333333,0,0,3,0,0,32000,32000,32000,32000,4000,4000,32000,4000,32000,False,3,8,default,9db605d928fe41c8999543bf5a936693,2023-01-22_17-57-07,1674439027,5.3754191398620605,43.06887626647949,4704,panther,192.168.86.35,43.06887626647949,0,8,9.760607719421387,32000,32000,32000,32000,0.001300389947933687,0.0001288991991634545,0.0005255504537511042,5110.333333333333,0,0,"[0.00014736221415617132, 0.0001288991991634545, 0.001300389947933687]","[6792, 7764, 775]",5376.008,0.279,14313504.106,3545.779,1128.102,5.174,32000,32000,32000,32000,51.75,29.7375,"[0.00014736221415617132, 0.0001288991991634545, 0.001300389947933687]","[6792, 7764, 775]",128.0,6975.5,464.5,0.20000000298023224,4.999999873689376e-05,-0.05963635,-0.06166357,1.4056765e-08,-0.9924722,0.010136077,3.756829,0.0
0.001300389947933687,8.350033330410544e-05,0.00041503792363935455,6828.25,1,0,3,0,0,36000,36000,36000,36000,4000,4000,36000,4000,36000,False,4,9,default,9db605d928fe41c8999543bf5a936693,2023-01-22_17-57-12,1674439032,5.217152118682861,48.28602838516235,4704,panther,192.168.86.35,48.28602838516235,0,9,9.760607719421387,36000,36000,36000,36000,0.001300389947933687,8.350033330410544e-05,0.00041503792363935455,6828.25,1,0,"[0.00014736221415617132, 0.0001288991991634545, 0.001300389947933687, 8.350033330410544e-05]","[6792, 7764, 775, 11982]",5357.628,0.279,14320461.305,3524.349,1134.961,5.112,36000,36000,36000,36000,49.275,29.6875,"[0.00014736221415617132, 0.0001288991991634545, 0.001300389947933687, 8.350033330410544e-05]","[6792, 7764, 775, 11982]",128.0,7905.5,464.5,0.20000000298023224,4.999999873689376e-05,-0.050665412,-0.052424792,6.35369e-08,-1.0,0.008796625,3.7395375,0.0
0.001300389947933687,8.350033330410544e-05,0.00041503792363935455,6828.25,0,0,3,0,0,40000,40000,40000,40000,4000,4000,40000,4000,40000,False,4,10,default,9db605d928fe41c8999543bf5a936693,2023-01-22_17-57-17,1674439037,5.373538494110107,53.65956687927246,4704,panther,192.168.86.35,53.65956687927246,0,10,9.760607719421387,40000,40000,40000,40000,0.001300389947933687,8.350033330410544e-05,0.00041503792363935455,6828.25,0,0,"[0.00014736221415617132, 0.0001288991991634545, 0.001300389947933687, 8.350033330410544e-05]","[6792, 7764, 775, 11982]",5358.382,0.28,14280912.496,3524.372,1134.954,5.234,40000,40000,40000,40000,48.2,29.571428571428573,"[0.00014736221415617132, 0.0001288991991634545, 0.001300389947933687, 8.350033330410544e-05]","[6792, 7764, 775, 11982]",128.0,8835.5,464.5,0.20000000298023224,4.999999873689376e-05,-0.051738854,-0.05408454,1.4787607e-07,-0.984595,0.011727712,3.7065136,0.0
